ds,y
4/14/21,401.15
4/15/21,401.71
4/16/21,402.28
4/17/21,388.39
4/18/21,387.82
4/19/21,382.15
4/20/21,373.36
4/21/21,388.67
4/22/21,397.18
4/23/21,397.46
4/24/21,400.58
4/25/21,399.44
4/26/21,396.89
4/27/21,396.33
4/28/21,395.48
4/29/21,396.33
4/30/21,396.33
5/1/21,398.03
5/2/21,396.61
5/3/21,397.46
5/4/21,399.16
5/5/21,402
5/6/21,399.44
5/7/21,397.46
5/8/21,400.29
5/9/21,399.16
5/10/21,399.16
5/11/21,398.59
5/12/21,392.64
5/13/21,398.31
5/14/21,398.31
5/15/21,402.28
5/16/21,403.98
5/17/21,402.28
5/18/21,402
5/19/21,399.44
5/20/21,394.91
5/21/21,391.51
5/22/21,384.14
5/23/21,392.64
5/24/21,390.94
5/25/21,396.89
5/26/21,396.61
5/27/21,398.59
5/28/21,395.76
5/29/21,396.33
5/30/21,399.44
5/31/21,397.46
6/1/21,393.77
6/2/21,392.07
6/3/21,394.34
6/4/21,392.92
6/5/21,398.59
6/6/21,396.89
6/7/21,394.91
6/8/21,394.62
6/9/21,393.77
6/10/21,397.18
6/11/21,399.16
6/12/21,398.03
6/13/21,394.62
6/14/21,406.25
6/15/21,393.49
6/16/21,394.06
6/17/21,393.49
6/18/21,393.21
6/19/21,400.29
6/20/21,398.03
6/21/21,396.04
6/22/21,395.48
6/23/21,392.64
6/24/21,393.77
6/25/21,393.77
6/26/21,395.76
6/27/21,391.79
6/28/21,392.07
6/29/21,390.09
6/30/21,393.49
7/1/21,392.36
7/2/21,391.79
7/3/21,390.66
7/4/21,394.06
7/5/21,391.51
7/6/21,395.19
7/7/21,391.79
7/8/21,391.51
7/9/21,390.09
7/10/21,396.89
7/11/21,398.03
7/12/21,398.88
7/13/21,395.76
7/14/21,397.46
7/15/21,396.89
7/16/21,395.76
7/17/21,398.31
7/18/21,398.88
7/19/21,396.33
7/20/21,396.33
7/21/21,397.46
7/22/21,397.46
7/23/21,394.34
7/24/21,394.34
7/25/21,395.48
7/26/21,397.46
7/27/21,395.76
7/28/21,390.66
7/29/21,390.94
7/30/21,388.96
7/31/21,391.79
8/1/21,391.22
8/2/21,393.21
8/3/21,391.22
8/4/21,392.07
8/5/21,390.09
8/6/21,389.24
8/7/21,392.64
8/8/21,389.52
8/9/21,394.62
8/10/21,396.33
8/11/21,393.21
8/12/21,390.66
8/13/21,388.1
8/14/21,389.24
8/15/21,392.36
8/16/21,393.49
8/17/21,389.24
8/18/21,388.1
8/19/21,390.37
8/20/21,390.37
8/21/21,387.25
8/22/21,393.49
8/23/21,387.82
8/24/21,388.1
8/25/21,386.69
8/26/21,377.33
8/27/21,386.69
8/28/21,396.04
8/29/21,390.66
8/30/21,390.37
8/31/21,387.54
9/1/21,383
9/2/21,383.57
9/3/21,383.57
9/4/21,392.92
9/5/21,390.37
9/6/21,385.27
9/7/21,389.24
9/8/21,385.55
9/9/21,381.58
9/10/21,381.3
9/11/21,387.25
9/12/21,388.39
9/13/21,390.09
9/14/21,385.84
9/15/21,385.27
9/16/21,385.55
9/17/21,386.12
9/18/21,391.22
9/19/21,393.21
9/20/21,387.82
9/21/21,384.14
9/22/21,383.57
9/23/21,378.75
9/24/21,380.73
9/25/21,387.82
9/26/21,388.96
9/27/21,386.97
9/28/21,384.7
9/29/21,381.3
9/30/21,380.73
10/1/21,378.18
10/2/21,385.84
10/3/21,386.4
10/4/21,385.27
10/5/21,380.45
10/6/21,381.02
10/7/21,379.88
10/8/21,381.58
10/9/21,386.12
10/10/21,384.14
10/11/21,385.27
10/12/21,382.72
10/13/21,379.32
10/14/21,376.2
10/15/21,377.9
10/16/21,385.84
10/17/21,385.27
10/18/21,384.7
10/19/21,383
10/20/21,378.18
10/21/21,381.02
10/22/21,377.33
10/23/21,381.3
10/24/21,386.12
10/25/21,381.02
10/26/21,372.8
10/27/21,376.48
10/28/21,374.5
10/29/21,378.18
10/30/21,384.7
10/31/21,382.15
11/1/21,381.02
11/2/21,372.8
11/3/21,376.76
11/4/21,377.05
11/5/21,383
11/6/21,386.12
11/7/21,383.57
11/8/21,383
11/9/21,379.32
11/10/21,377.9
11/11/21,377.05
11/12/21,379.6
11/13/21,383.85
11/14/21,383.57
11/15/21,381.58
11/16/21,379.03
11/17/21,375.91
11/18/21,376.76
11/19/21,377.9
11/20/21,379.32
11/21/21,381.02
11/22/21,377.9
11/23/21,377.33
11/24/21,363.72
11/25/21,359.47
11/26/21,361.17
11/27/21,373.65
11/28/21,370.24
11/29/21,368.26
11/30/21,371.38
12/1/21,371.38
12/2/21,369.96
12/3/21,364.01
12/4/21,365.14
12/5/21,369.39
12/6/21,371.38
12/7/21,367.69
12/8/21,362.02
12/9/21,367.41
12/10/21,362.02
12/11/21,372.51
12/12/21,369.11
12/13/21,365.71
12/14/21,360.04
12/15/21,359.76
12/16/21,362.87
12/17/21,362.59
12/18/21,365.14
12/19/21,364.01
12/20/21,365.71
12/21/21,360.61
12/22/21,359.76
12/23/21,361.46
12/24/21,361.46
12/25/21,361.74
12/26/21,367.41
12/27/21,368.54
12/28/21,363.44
12/29/21,362.02
12/30/21,356.64
12/31/21,359.47
1/1/22,362.87
1/2/22,367.69
1/3/22,368.54
1/4/22,362.02
1/5/22,360.32
1/6/22,361.46
1/7/22,361.46
1/8/22,366.84
1/9/22,360.32
1/10/22,361.17
1/11/22,360.89
1/12/22,358.9
1/13/22,360.04
1/14/22,356.07
1/15/22,358.05
1/16/22,355.5
1/17/22,352.1
1/18/22,354.65
1/19/22,351.53
1/20/22,345.58
1/21/22,353.23
1/22/22,362.02
1/23/22,362.02
1/24/22,358.9
1/25/22,355.5
1/26/22,355.5
1/27/22,354.94
1/28/22,351.53
1/29/22,353.8
1/30/22,355.22
1/31/22,355.5
2/1/22,353.52
2/2/22,355.5
2/3/22,349.83
2/4/22,348.98
2/5/22,357.77
2/6/22,358.62
2/7/22,354.37
2/8/22,355.5
2/9/22,356.92
2/10/22,345.86
2/11/22,345.3
2/12/22,353.8
2/13/22,348.7
2/14/22,349.55
2/15/22,350.12
2/16/22,345.58
2/17/22,345.01
2/18/22,343.03
2/19/22,350.12
2/20/22,352.1
2/21/22,349.83
2/22/22,348.98
2/23/22,348.13
2/24/22,349.27
2/25/22,348.42
2/26/22,348.13
2/27/22,347.56
2/28/22,349.83
3/1/22,347.56
3/2/22,345.01
3/3/22,342.46
3/4/22,332.54
3/5/22,342.18
3/6/22,343.31
3/7/22,342.75
3/8/22,338.21
3/9/22,338.21
3/10/22,333.39
3/11/22,335.09
3/12/22,342.18
3/13/22,342.46
3/14/22,342.18
3/15/22,337.64
3/16/22,335.66
3/17/22,329.99
3/18/22,337.08
3/19/22,345.3
3/20/22,341.89
3/21/22,342.75
3/22/22,343.6
3/23/22,341.61
3/24/22,335.66
3/25/22,335.66
3/26/22,341.33
3/27/22,341.04
3/28/22,335.66
3/29/22,334.24
3/30/22,331.97
3/31/22,330.56
4/1/22,325.45
4/2/22,331.41
4/3/22,331.97
4/4/22,334.24
4/5/22,328
4/6/22,327.15
4/7/22,326.02
4/8/22,326.3
4/9/22,327.72
