Date, Total 
3/1/2023," $3,320.10 "
3/1/2023, $-   
3/1/2023, $-   
3/1/2023, $174.67 
3/1/2023," $15,876.00 "
3/1/2023, $-   
3/2/2023, $-   
3/3/2023," $3,600.00 "
3/4/2023, $912.00 
3/6/2023," $11,922.00 "
3/6/2023," $20,928.00 "
3/6/2023," $9,138.00 "
3/6/2023," $5,406.62 "
3/6/2023," $4,955.00 "
3/6/2023," $3,076.00 "
3/7/2023, $528.00 
3/7/2023," $6,208.25 "
3/7/2023," $8,630.75 "
3/7/2023," $8,893.80 "
3/7/2023, $-   
3/7/2023, $-   
3/7/2023," $1,575.00 "
3/8/2023," $4,055.40 "
3/8/2023," $1,050.00 "
3/8/2023," $25,474.50 "
3/8/2023," $9,062.00 "
3/8/2023," $9,062.00 "
3/8/2023," $7,108.00 "
3/8/2023," $2,100.00 "
3/8/2023," $1,050.00 "
3/9/2023," $9,352.80 "
3/9/2023," $3,363.00 "
3/10/2023, $249.53 
3/12/2023," $27,907.20 "
3/13/2023," $3,005.00 "
3/13/2023," $6,885.00 "
3/13/2023," $1,400.00 "
3/14/2023, $250.01 
3/14/2023," $3,225.00 "
3/14/2023," $2,850.00 "
3/15/2023," $4,503.60 "
3/15/2023, $175.00 
3/15/2023," $4,212.00 "
3/15/2023," $5,220.00 "
3/15/2023," $1,575.00 "
3/15/2023," $4,524.00 "
3/15/2023," $1,400.00 "
3/16/2023," $3,018.00 "
3/16/2023," $11,571.90 "
3/16/2023," $11,571.90 "
3/16/2023," $1,750.00 "
3/16/2023," $1,750.00 "
3/17/2023, $784.00 
3/20/2023," $6,885.00 "
3/20/2023, $196.00 
3/20/2023," $1,530.00 "
3/20/2023, $-   
3/21/2023," $2,284.00 "
3/21/2023," $10,808.72 "
3/22/2023," $2,597.40 "
3/22/2023, $75.00 
3/22/2023," $5,572.80 "
3/22/2023, $150.00 
3/22/2023," $12,004.00 "
3/22/2023," $4,708.00 "
3/22/2023," $1,656.00 "
3/22/2023," $6,843.00 "
3/22/2023," $7,624.50 "
3/22/2023," $1,410.00 "
3/22/2023," $1,620.00 "
3/23/2023," $11,772.00 "
3/24/2023," $11,815.00 "
3/24/2023," $4,260.00 "
3/24/2023, $-   
3/24/2023, $-   
3/24/2023," $10,245.90 "
3/24/2023," $5,400.00 "
3/24/2023," $21,157.20 "
